Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,f1_abusive,f1_hatespeech,f1_macro,f1_macro_test,f1_macro_train,f1_obscene,f1_provocative,f1_racist,f1_religioushate,f1_threat,f1_train_val_gap,latency_cpu_seconds,precision,precision_abusive,precision_hatespeech,precision_obscene,precision_provocative,precision_racist,precision_religioushate,precision_test,precision_threat,recall,recall_abusive,recall_hatespeech,recall_obscene,recall_provocative,recall_racist,recall_religioushate,recall_test,recall_threat,roc_auc,roc_auc_test,run_type,model_type,overfitting
2026-05-25 13:39:24,68ms,e7e87363bddf4ffaa876e1e37527268a,xmlroberta_4labels_bilingual,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\register_all_transformers.py,Coder,FINISHED,,0.5,0.4602,0.4067,0.5809,0.5521,,0.486,,0.0889,0.1207,0.1977,0.3736,,0.375,0.4066,,0.3562,,0.2961,0.0465,0.6593,,0.75,0.8596,,0.7647,,0.8436,1,,,xmlroberta_4labels_bilingual,multilabel,⚠️
2026-05-25 13:39:24,70ms,96f1993e568f4ce7a9efa895127aea74,xmlroberta_4labels,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\register_all_transformers.py,Coder,FINISHED,,0.2436,0.3581,0.2546,0.3697,0.5405,,0.2344,,0,0.0117,0.1747,0.328,,0.1387,0.4396,,0.1351,,0.1783,0,0.4121,,1,0.7018,,0.8824,,0.646,0,,,xmlroberta_4labels,multilabel,✅
2026-05-25 13:39:24,83ms,415a816bc3884e95be3d81b171e9b056,transformer_roberta_4labels,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\register_all_transformers.py,Coder,FINISHED,0.6752,0.5574,0.5531,0.5531,0.5973,,0.4615,0.5185,,,0.0442,0,0.4257,0.55,0.45,,0.32,0.39,,0.4257,,0.807,0.88,0.74,,0.83,0.78,,0.807,,0.8375,0.8375,transformer_roberta_4labels,multilabel,✅
2026-05-25 13:39:23,79ms,b614e76711b9414484b153d172de9dc5,transformer_multilabel,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\register_all_transformers.py,Coder,FINISHED,0.7184,0.4375,0.4701,0.403,0.5258,0.359,0.2667,0.4062,0.1667,0.4667,0.0557,0.1436,0.3982,0.8043,0.3111,0.2258,0.1647,0.2766,0.0909,0.3111,0.3043,0.6374,0.6491,0.7368,0.875,0.7,0.7647,1,0.818,1,,,transformer_multilabel,multilabel,⚠️
2026-05-25 13:39:23,80ms,7cd48bc50b1a4ab0834375252aed42ec,transformer_roberta,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\register_all_transformers.py,Coder,FINISHED,,,0.7692307692307693,0.7852925389157273,0.839,,,,,,0.0697,0.1804,0.7777777777777778,,,,,,,0.7852925389157273,,0.7678571428571428,,,,,,,0.7852925389157273,,0.8548214285714286,0.8758275183395956,transformer_roberta,binary,⚠️
2026-05-25 13:32:02,4.4s,a107b0001c2147ab95b040fbf45f05c2,xgboost_tuned,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.6604,0.7474,0.8985,,,,,,0.2381,,0.7005,,,,,,,0.7575,,0.667,,,,,,,0.7458,,0.7402,0.7995,xgboost_tuned,,
2026-05-25 13:31:58,4.4s,07dfc172ab604f3b8e3eb44624c473a1,baseline_lr_tuned,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.7159,0.7572,0.8964,,,,,,0.1805,,0.7209,,,,,,,0.7593,,0.7152,,,,,,,0.7563,,0.7757,0.8184,baseline_lr_tuned,,
2026-05-25 13:31:45,4.9s,ac373b2cfcf347ec98c602f3bff58f92,random_forest_enhanced,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.6528,0.7206,1,,,,,,0.3472,,0.7162,,,,,,,0.7494,,0.6643,,,,,,,0.7209,,0.7686,0.8186,random_forest_enhanced,,
2026-05-25 13:31:39,5.3s,513272beeb4a44f1826ef4138bd33642,xgboost_enhanced,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.7189,0.7484,0.9813,,,,,,0.2624,,0.7344,,,,,,,0.7556,,0.7188,,,,,,,0.7469,,0.7743,0.8185,xgboost_enhanced,,
2026-05-25 13:31:31,6.1s,61d2a564f4cd43bc88c0a4c49911248c,baseline_lr_enhanced,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.6835,0.743,0.9813,,,,,,0.2978,,0.6855,,,,,,,0.7466,,0.683,,,,,,,0.7418,,0.7643,0.8125,baseline_lr_enhanced,,
2026-05-25 13:31:16,5.0s,1e0d29194dad4903b9233e44e772caf8,random_forest,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.6727,0.7547,0.9914,,,,,,0.3187,,0.699,,,,,,,0.7635,,0.6759,,,,,,,0.7531,,0.7746,0.8295,random_forest,,
2026-05-25 13:31:11,4.5s,af4249caa88f47ec9a3b86638417513a,xgboost,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.6567,0.7299,0.9302,,,,,,0.2735,,0.6869,,,,,,,0.7514,,0.6616,,,,,,,0.7292,,0.7169,0.8041,xgboost,,
2026-05-25 13:31:02,8.8s,d3cace2885ba42dba979929692d2d48b,baseline_lr,LOCAL,C:\Users\Coder\Documents\Proyectos-Modulo3\P9_NLP_Equipo1\src\hatescan\training\run_registration.py,Coder,FINISHED,,,0.7222,0.7493,0.8529,,,,,,0.1307,,0.7284,,,,,,,0.754,,0.7214,,,,,,,0.748,,0.7754,0.8126,baseline_lr,,
